gene,lable
hsa-let-7a-5p,1
hsa-let-7b-5p,1
hsa-let-7c-5p,1
hsa-let-7d-5p,1
hsa-let-7e-5p,1
hsa-let-7f-5p,1
hsa-let-7g-5p,1
hsa-let-7i-5p,1
hsa-miR-1-3p,1
hsa-miR-100-5p,1
hsa-miR-101-5p,1
hsa-miR-101-3p,1
hsa-miR-103a-3p,1
hsa-miR-103a-2-5p,1
hsa-miR-103b,1
hsa-miR-105-5p,1
hsa-miR-106a-5p,1
hsa-miR-106b-5p,1
hsa-miR-107,1
hsa-miR-10a-5p,1
hsa-miR-10b-5p,1
hsa-miR-1178-5p,1
hsa-miR-1179,1
hsa-miR-1180-5p,1
hsa-miR-1181,1
hsa-miR-1182,1
hsa-miR-1183,1
hsa-miR-1184,1
hsa-miR-1185-5p,1
hsa-miR-1193,1
hsa-miR-1197,1
hsa-miR-1199-5p,1
hsa-miR-1200,1
hsa-miR-1202,1
hsa-miR-1203,1
hsa-miR-1204,1
hsa-miR-1205,1
hsa-miR-1206,1
hsa-miR-1207-5p,1
hsa-miR-1208,1
hsa-miR-122-5p,1
hsa-miR-1224-5p,1
hsa-miR-1225-5p,1
hsa-miR-1226-5p,1
hsa-miR-1227-5p,1
hsa-miR-1228-5p,1
hsa-miR-1229-5p,1
hsa-miR-1231,1
hsa-miR-1233-5p,1
hsa-miR-1234-3p,1
hsa-miR-1236-5p,1
hsa-miR-1237-5p,1
hsa-miR-1238-5p,1
hsa-miR-124-5p,1
hsa-miR-1243,1
hsa-miR-1244,1
hsa-miR-1245a,1
hsa-miR-1245b-5p,1
hsa-miR-1246,1
hsa-miR-1247-5p,1
hsa-miR-1248,1
hsa-miR-1249-3p,1
hsa-miR-1250-5p,1
hsa-miR-1251-5p,1
hsa-miR-1252-5p,1
hsa-miR-1253,1
hsa-miR-1254,1
hsa-miR-1255a,1
hsa-miR-1255b-5p,1
hsa-miR-1256,1
hsa-miR-1257,1
hsa-miR-1258,1
hsa-miR-125a-5p,1
hsa-miR-125b-5p,1
hsa-miR-126-5p,1
hsa-miR-1260a,1
hsa-miR-1260b,1
hsa-miR-1261,1
hsa-miR-1262,1
hsa-miR-1263,1
hsa-miR-1264,1
hsa-miR-1265,1
hsa-miR-1266-5p,1
hsa-miR-1267,1
hsa-miR-1268a,1
hsa-miR-1268b,1
hsa-miR-1269a,1
hsa-miR-1269b,1
hsa-miR-127-5p,1
hsa-miR-1270,1
hsa-miR-1271-5p,1
hsa-miR-1272,1
hsa-miR-1273a,1
hsa-miR-1273c,1
hsa-miR-1273d,1
hsa-miR-1273f,1
hsa-miR-1273g-5p,1
hsa-miR-1273h-5p,1
hsa-miR-1275,1
hsa-miR-1276,1
hsa-miR-1277-5p,1
hsa-miR-1278,1
hsa-miR-1279,1
hsa-miR-128-1-5p,1
hsa-miR-128-2-5p,1
hsa-miR-1281,1
hsa-miR-1282,1
hsa-miR-1283,1
hsa-miR-1284,1
hsa-miR-1285-5p,1
hsa-miR-1285-3p,1
hsa-miR-1286,1
hsa-miR-1287-5p,1
hsa-miR-1288-5p,1
hsa-miR-1289,1
hsa-miR-129-5p,1
hsa-miR-1290,1
hsa-miR-1291,1
hsa-miR-1292-5p,1
hsa-miR-1293,1
hsa-miR-1294,1
hsa-miR-1295a,1
hsa-miR-1295b-5p,1
hsa-miR-1296-5p,1
hsa-miR-1297,1
